SUMMARY 01/29/2011  $-5744.80    46
  SUMMARY 01/29/1994  $-6247.80    69
    SELL    07/31/1993  $76.88
    BUY     07/31/1993  $-27.80
    BUY     07/31/1993  $-16.11
    BUY     07/31/1993  $-15.77
    BUY     07/31/1993  $-40.21
    SELL    07/31/1993  $7.42
    SELL    07/31/1993  $21.42
    BUY     07/31/1993  $-91.78
    BUY     07/31/1993  $-72.41
    SELL    07/31/1993  $88.56
    SELL    07/31/1993  $13.60
    SELL    08/01/1993  $43.81
    SUMMARY 08/24/1993  $99.80    51
      BUY     08/01/1993  $-87.53
      BUY     08/01/1993  $-92.24
      SELL    08/01/1993  $5.14
      SELL    08/01/1993  $11.38
      SELL    08/01/1993  $3.02
      SELL    08/01/1993  $64.76
      SELL    08/01/1993  $63.71
      BUY     08/01/1993  $-92.87
      BUY     08/01/1993  $-58.43
      SELL    08/01/1993  $93.10
      SELL    08/01/1993  $40.39
      SELL    08/01/1993  $27.35
      BUY     08/02/1993  $-96.03
      BUY     08/02/1993  $-18.95
      SUMMARY 08/05/1993  $431.79    34
        SELL    08/02/1993  $83.56
        SELL    08/02/1993  $3.00
        SELL    08/02/1993  $99.74
        BUY     08/02/1993  $-54.14
        BUY     08/02/1993  $-36.65
        BUY     08/02/1993  $-96.54
        BUY     08/02/1993  $-4.82
        BUY     08/02/1993  $-33.04
        SELL    08/02/1993  $45.19
        SELL    08/03/1993  $52.68
        BUY     08/03/1993  $-41.80
        SELL    08/03/1993  $65.42
        SELL    08/03/1993  $73.77
        BUY     08/03/1993  $-81.27
        SELL    08/03/1993  $13.02
        SELL    08/03/1993  $51.00
        SELL    08/03/1993  $84.46
        BUY     08/03/1993  $-15.24
        SELL    08/04/1993  $5.03
        BUY     08/04/1993  $-41.66
        BUY     08/04/1993  $-44.43
        SELL    08/04/1993  $74.24
        SELL    08/04/1993  $99.76
        SELL    08/04/1993  $13.79
        SELL    08/04/1993  $30.99
        SELL    08/04/1993  $44.99
        SELL    08/04/1993  $76.75
        SELL    08/04/1993  $3.79
        SELL    08/04/1993  $68.65
        BUY     08/04/1993  $-27.02
        SELL    08/05/1993  $32.68
        BUY     08/05/1993  $-59.31
        BUY     08/05/1993  $-47.53
        BUY     08/05/1993  $-7.27
      SUMMARY 08/07/1993  $-297.60    25
        SELL    08/05/1993  $0.21
        BUY     08/05/1993  $-37.50
        BUY     08/05/1993  $-36.09
        BUY     08/05/1993  $-82.54
        SELL    08/05/1993  $91.26
        BUY     08/05/1993  $-82.81
        SELL    08/05/1993  $70.55
        SELL    08/05/1993  $34.11
        SELL    08/06/1993  $74.80
        BUY     08/06/1993  $-53.23
        SELL    08/06/1993  $30.12
        SELL    08/06/1993  $91.91
        BUY     08/06/1993  $-73.08
        BUY     08/06/1993  $-81.50
        SELL    08/06/1993  $56.63
        BUY     08/06/1993  $-24.65
        BUY     08/06/1993  $-6.57
        BUY     08/06/1993  $-39.35
        SELL    08/06/1993  $44.17
        BUY     08/06/1993  $-58.12
        BUY     08/06/1993  $-77.55
        BUY     08/06/1993  $-78.14
        BUY     08/07/1993  $-50.47
        BUY     08/07/1993  $-53.40
        SELL    08/07/1993  $43.64
      SELL    08/07/1993  $42.02
      BUY     08/07/1993  $-78.04
      SELL    08/07/1993  $0.94
      SELL    08/07/1993  $17.93
      SELL    08/07/1993  $57.35
      BUY     08/08/1993  $-25.51
      SELL    08/08/1993  $6.02
      BUY     08/08/1993  $-58.01
      BUY     08/08/1993  $-57.01
      BUY     08/08/1993  $-67.16
      BUY     08/08/1993  $-27.93
      SUMMARY 08/12/1993  $-56.29    55
        SELL    08/08/1993  $42.00
        SELL    08/08/1993  $45.50
        BUY     08/08/1993  $-25.49
        SELL    08/08/1993  $61.94
        SELL    08/08/1993  $71.22
        SELL    08/08/1993  $21.30
        SELL    08/08/1993  $84.96
        BUY     08/09/1993  $-31.94
        SELL    08/09/1993  $93.24
        SELL    08/09/1993  $1.61
        BUY     08/09/1993  $-44.11
        BUY     08/09/1993  $-54.21
        BUY     08/09/1993  $-49.75
        BUY     08/09/1993  $-53.89
        SELL    08/09/1993  $81.03
        SELL    08/09/1993  $12.04
        BUY     08/09/1993  $-93.32
        BUY     08/09/1993  $-38.10
        BUY     08/09/1993  $-51.90
        SELL    08/09/1993  $35.34
        BUY     08/10/1993  $-87.75
        SELL    08/10/1993  $24.15
        SELL    08/10/1993  $10.07
        SELL    08/10/1993  $21.69
        SELL    08/10/1993  $30.61
        BUY     08/10/1993  $-91.40
        SELL    08/10/1993  $44.22
        SELL    08/10/1993  $47.76
        SELL    08/10/1993  $1.11
        BUY     08/10/1993  $-97.32
        SELL    08/10/1993  $1.82
        SELL    08/10/1993  $74.04
        BUY     08/11/1993  $-30.47
        BUY     08/11/1993  $-66.90
        SELL    08/11/1993  $59.93
        SELL    08/11/1993  $53.41
        BUY     08/11/1993  $-75.51
        SELL    08/11/1993  $81.01
        BUY     08/11/1993  $-50.20
        SELL    08/11/1993  $97.60
        BUY     08/11/1993  $-40.47
        BUY     08/11/1993  $-95.09
        SELL    08/11/1993  $81.42
        SELL    08/11/1993  $61.59
        BUY     08/11/1993  $-35.82
        BUY     08/11/1993  $-81.73
        SELL    08/12/1993  $25.59
        BUY     08/12/1993  $-79.42
        BUY     08/12/1993  $-10.13
        BUY     08/12/1993  $-58.01
        SELL    08/12/1993  $74.42
        BUY     08/12/1993  $-72.49
        SELL    08/12/1993  $6.09
        SELL    08/12/1993  $67.27
        BUY     08/12/1993  $-54.85
      SELL    08/12/1993  $6.54
      BUY     08/12/1993  $-66.32
      SELL    08/12/1993  $72.50
      BUY     08/13/1993  $-43.51
      BUY     08/13/1993  $-8.51
      SELL    08/13/1993  $74.45
      SELL    08/13/1993  $6.06
      BUY     08/13/1993  $-62.62
      BUY     08/13/1993  $-83.32
      BUY     08/13/1993  $-69.70
      BUY     08/13/1993  $-4.29
      SELL    08/13/1993  $43.97
      BUY     08/13/1993  $-18.47
      SUMMARY 08/20/1993  $-46.72    20
        SUMMARY 08/16/1993  $-204.27    30
          BUY     08/14/1993  $-42.65
          BUY     08/14/1993  $-97.18
          SELL    08/14/1993  $15.70
          SELL    08/14/1993  $11.51
          SELL    08/14/1993  $58.35
          SELL    08/14/1993  $10.45
          SELL    08/14/1993  $35.94
          BUY     08/14/1993  $-81.03
          SELL    08/14/1993  $57.17
          SELL    08/14/1993  $29.80
          BUY     08/14/1993  $-1.84
          SELL    08/15/1993  $30.84
          BUY     08/15/1993  $-86.44
          SELL    08/15/1993  $3.40
          BUY     08/15/1993  $-64.37
          SELL    08/15/1993  $45.66
          SELL    08/15/1993  $20.49
          BUY     08/15/1993  $-4.68
          BUY     08/15/1993  $-92.41
          SELL    08/15/1993  $44.07
          BUY     08/15/1993  $-36.45
          SELL    08/15/1993  $84.40
          SELL    08/16/1993  $55.04
          BUY     08/16/1993  $-31.63
          BUY     08/16/1993  $-55.25
          BUY     08/16/1993  $-23.39
          SELL    08/16/1993  $55.73
          SELL    08/16/1993  $31.10
          BUY     08/16/1993  $-87.03
          BUY     08/16/1993  $-89.57
        BUY     08/16/1993  $-59.72
        BUY     08/16/1993  $-47.02
        SELL    08/17/1993  $84.66
        SELL    08/17/1993  $78.18
        BUY     08/17/1993  $-98.12
        SELL    08/17/1993  $25.53
        BUY     08/17/1993  $-94.49
        SUMMARY 08/19/1993  $101.62    30
          BUY     08/17/1993  $-62.89
          SELL    08/17/1993  $89.56
          SELL    08/17/1993  $50.76
          SELL    08/17/1993  $60.29
          SELL    08/17/1993  $36.14
          BUY     08/17/1993  $-10.08
          SELL    08/17/1993  $19.31
          SELL    08/17/1993  $41.80
          SELL    08/17/1993  $13.50
          BUY     08/18/1993  $-88.11
          SELL    08/18/1993  $38.86
          BUY     08/18/1993  $-10.96
          SELL    08/18/1993  $0.98
          BUY     08/18/1993  $-72.37
          SELL    08/18/1993  $86.68
          SELL    08/18/1993  $15.71
          BUY     08/18/1993  $-36.90
          BUY     08/18/1993  $-55.96
          SELL    08/18/1993  $91.29
          BUY     08/18/1993  $-59.88
          BUY     08/18/1993  $-18.68
          BUY     08/18/1993  $-83.66
          SELL    08/18/1993  $73.06
          BUY     08/19/1993  $-22.98
          SELL    08/19/1993  $98.13
          SELL    08/19/1993  $33.23
          BUY     08/19/1993  $-5.65
          SELL    08/19/1993  $9.81
          BUY     08/19/1993  $-79.24
          BUY     08/19/1993  $-50.13
        SELL    08/19/1993  $13.00
        BUY     08/19/1993  $-12.10
        SELL    08/20/1993  $52.82
        BUY     08/20/1993  $-52.69
        BUY     08/20/1993  $-77.60
        SELL    08/20/1993  $98.70
        SELL    08/20/1993  $87.43
        SELL    08/20/1993  $23.38
        BUY     08/20/1993  $-15.19
        BUY     08/20/1993  $-25.05
        SELL    08/20/1993  $74.21
      BUY     08/20/1993  $-21.30
      BUY     08/21/1993  $-77.25
      BUY     08/21/1993  $-32.38
      SELL    08/21/1993  $25.88
      SUMMARY 08/24/1993  $618.90    36
        SELL    08/21/1993  $22.56
        SELL    08/21/1993  $80.09
        BUY     08/21/1993  $-9.33
        SELL    08/21/1993  $64.09
        BUY     08/21/1993  $-1.35
        BUY     08/21/1993  $-72.72
        BUY     08/21/1993  $-81.90
        BUY     08/21/1993  $-43.20
        SELL    08/21/1993  $59.52
        BUY     08/22/1993  $-8.37
        BUY     08/22/1993  $-3.36
        SELL    08/22/1993  $41.57
        SELL    08/22/1993  $93.80
        SELL    08/22/1993  $77.57
        SELL    08/22/1993  $59.03
        SELL    08/22/1993  $88.46
        BUY     08/22/1993  $-74.23
        BUY     08/22/1993  $-40.93
        SELL    08/22/1993  $84.48
        BUY     08/22/1993  $-38.09
        SELL    08/22/1993  $64.30
        BUY     08/22/1993  $-56.07
        SELL    08/23/1993  $82.02
        SELL    08/23/1993  $11.45
        SELL    08/23/1993  $16.19
        SELL    08/23/1993  $74.84
        BUY     08/23/1993  $-70.28
        SELL    08/23/1993  $88.39
        SELL    08/23/1993  $77.25
        BUY     08/23/1993  $-63.84
        SELL    08/23/1993  $30.35
        SELL    08/23/1993  $89.62
        SELL    08/23/1993  $2.58
        SELL    08/23/1993  $29.23
        BUY     08/23/1993  $-96.75
        SELL    08/24/1993  $41.93
      SELL    08/24/1993  $55.39
      BUY     08/24/1993  $-47.60
      SELL    08/24/1993  $24.70
      SELL    08/24/1993  $2.10
    SELL    08/24/1993  $72.45
    BUY     08/24/1993  $-7.39
    BUY     08/24/1993  $-53.79
    BUY     08/24/1993  $-59.85
    SELL    08/24/1993  $21.12
    BUY     08/24/1993  $-74.98
    SELL    08/25/1993  $44.07
    SUMMARY 09/05/1993  $-851.71    27
      BUY     08/25/1993  $-58.07
      BUY     08/25/1993  $-20.11
      SELL    08/25/1993  $22.88
      SELL    08/25/1993  $14.63
      SELL    08/25/1993  $19.58
      BUY     08/25/1993  $-82.18
      BUY     08/25/1993  $-38.71
      BUY     08/25/1993  $-91.19
      SELL    08/25/1993  $90.96
      BUY     08/25/1993  $-7.46
      BUY     08/26/1993  $-47.87
      SELL    08/26/1993  $14.22
      SUMMARY 08/30/1993  $-691.51    32
        SELL    08/26/1993  $98.81
        SELL    08/26/1993  $82.35
        BUY     08/26/1993  $-46.34
        BUY     08/26/1993  $-82.61
        SELL    08/26/1993  $55.68
        SUMMARY 08/28/1993  $-625.00    20
          BUY     08/26/1993  $-38.06
          BUY     08/26/1993  $-82.44
          BUY     08/26/1993  $-46.92
          BUY     08/26/1993  $-14.47
          SELL    08/26/1993  $7.42
          BUY     08/26/1993  $-44.82
          SELL    08/27/1993  $44.01
          BUY     08/27/1993  $-29.20
          SELL    08/27/1993  $22.33
          BUY     08/27/1993  $-88.56
          BUY     08/27/1993  $-18.58
          BUY     08/27/1993  $-16.80
          SELL    08/27/1993  $47.18
          BUY     08/27/1993  $-23.16
          SELL    08/27/1993  $27.36
          BUY     08/27/1993  $-69.57
          BUY     08/27/1993  $-89.89
          BUY     08/27/1993  $-64.86
          BUY     08/28/1993  $-93.80
